code,system,short_title
99231.0,CPT,CPT code 99231.0 (short desc placeholder)
99213.0,CPT,CPT code 99213.0 (short desc placeholder)
99215.0,CPT,CPT code 99215.0 (short desc placeholder)
99238.0,CPT,CPT code 99238.0 (short desc placeholder)
99221.0,CPT,CPT code 99221.0 (short desc placeholder)
99223.0,CPT,CPT code 99223.0 (short desc placeholder)
99233.0,CPT,CPT code 99233.0 (short desc placeholder)
99214.0,CPT,CPT code 99214.0 (short desc placeholder)
99222.0,CPT,CPT code 99222.0 (short desc placeholder)
99232.0,CPT,CPT code 99232.0 (short desc placeholder)
7092.0,CPT,CPT code 7092.0 (short desc placeholder)
331.0,CPT,CPT code 331.0 (short desc placeholder)
3893.0,CPT,CPT code 3893.0 (short desc placeholder)
863.0,CPT,CPT code 863.0 (short desc placeholder)
4576.0,CPT,CPT code 4576.0 (short desc placeholder)
9904.0,CPT,CPT code 9904.0 (short desc placeholder)
3612.0,CPT,CPT code 3612.0 (short desc placeholder)
9672.0,CPT,CPT code 9672.0 (short desc placeholder)
9671.0,CPT,CPT code 9671.0 (short desc placeholder)
7935.0,CPT,CPT code 7935.0 (short desc placeholder)
8801.0,CPT,CPT code 8801.0 (short desc placeholder)
3995.0,CPT,CPT code 3995.0 (short desc placeholder)
66.0,CPT,CPT code 66.0 (short desc placeholder)
8872.0,CPT,CPT code 8872.0 (short desc placeholder)
8151.0,CPT,CPT code 8151.0 (short desc placeholder)
6029.0,CPT,CPT code 6029.0 (short desc placeholder)
9469.0,CPT,CPT code 9469.0 (short desc placeholder)
4311.0,CPT,CPT code 4311.0 (short desc placeholder)
3950.0,CPT,CPT code 3950.0 (short desc placeholder)
3324.0,CPT,CPT code 3324.0 (short desc placeholder)
5749.0,CPT,CPT code 5749.0 (short desc placeholder)
3491.0,CPT,CPT code 3491.0 (short desc placeholder)
3533.0,CPT,CPT code 3533.0 (short desc placeholder)
8154.0,CPT,CPT code 8154.0 (short desc placeholder)
8345.0,CPT,CPT code 8345.0 (short desc placeholder)
